@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atLee numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute destClass ,1}

@data
74,41,47,55,37,67,13,16,21,75,39,57,51,45,77,19,51,19,39,45,39,19,50,18,76,18,50,44,38,56,20,74,21,57,20,18,38,18,38,44,20,56,21,45,20,44,21,19,0.0
71,45,39,60,34,63,25,15,29,67,35,61,44,51,76,19,45,20,35,51,35,20,44,19,75,19,44,50,34,60,28,66,29,61,28,19,34,19,34,50,28,60,29,51,28,50,29,20,1.0
74,40,52,48,36,68,6,10,17,79,42,54,53,42,80,15,54,16,42,42,42,16,53,15,79,15,53,41,41,51,14,78,17,54,16,15,41,15,41,41,16,53,17,42,16,41,17,16,0.0
73,31,53,55,35,63,19,13,25,70,38,57,57,37,78,16,59,18,38,37,38,18,58,17,77,16,57,36,37,57,25,69,26,58,25,17,37,17,37,36,25,57,26,37,25,36,26,18,0.0
64,47,47,49,43,59,23,26,30,66,45,51,48,48,67,29,48,29,45,48,45,29,47,28,66,28,47,47,44,50,29,65,30,51,29,28,44,28,44,47,29,50,30,48,29,47,30,29,0.0
65,33,55,45,39,70,19,25,21,73,43,50,58,35,68,27,59,27,44,36,45,27,58,27,67,27,58,36,44,50,22,73,21,51,22,27,44,27,44,36,22,50,21,37,22,36,22,28,0.0
75,30,58,56,29,77,14,13,16,79,34,61,62,34,79,17,62,17,34,34,34,17,61,16,78,16,61,33,34,61,16,79,16,61,16,16,34,16,34,33,16,61,16,34,16,33,16,17,0.0
82,23,51,53,21,86,4,2,5,89,30,62,60,32,88,6,62,7,31,34,32,8,61,7,87,5,59,30,28,63,6,88,7,64,6,7,31,7,31,33,6,63,7,34,6,33,7,8,0.0
66,34,58,46,36,68,16,24,22,74,42,53,59,35,69,26,60,26,42,36,43,27,59,26,68,25,58,35,42,52,21,73,22,53,21,26,42,26,42,35,21,52,22,36,21,35,22,27,0.0
75,23,68,43,38,82,7,16,10,85,45,50,69,25,77,17,70,18,45,25,45,18,70,18,77,18,70,25,45,50,10,85,10,50,10,18,45,18,45,25,10,50,10,25,10,25,10,18,0.0
