@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atLccc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute destClass {0,1}

@data
39,34,54,36,39,56,37,55,37,37,56,55,36,56,37,38,55,33,38,37,57,34,53,55,37,36,37,55,38,57,58,34,58,33,37,34,39,36,37,36,39,37,37,36,38,37,38,36,37,36,1
40,34,53,36,39,49,39,49,29,30,54,55,36,56,36,39,45,32,35,37,57,34,53,45,39,36,34,54,34,55,58,34,58,32,39,34,39,36,34,36,40,36,30,36,40,36,39,36,39,36,0
46,43,50,43,46,47,44,46,40,42,49,50,42,51,44,45,46,42,43,44,50,42,50,46,44,42,42,48,43,50,52,43,51,42,44,42,46,43,42,42,46,44,42,43,45,44,45,42,44,43,0
40,31,59,32,40,55,38,54,38,38,55,60,32,61,33,39,54,30,39,33,61,31,59,54,38,32,38,54,39,56,62,31,62,30,38,31,40,32,38,32,40,33,38,32,39,33,39,32,38,32,0
38,35,53,37,38,57,36,56,36,36,57,54,37,55,38,37,56,33,37,38,56,35,53,56,36,37,36,56,37,58,57,35,57,34,36,35,38,37,36,37,38,38,36,37,37,38,37,37,36,37,1
38,26,57,30,38,54,37,53,32,34,57,59,30,60,31,37,53,24,34,31,63,26,55,52,37,30,34,56,34,57,64,26,64,24,37,26,38,30,34,30,38,31,34,30,37,31,37,30,37,30,0
35,28,59,31,35,54,33,53,23,25,60,59,30,60,32,34,51,25,28,32,62,27,58,49,33,30,27,59,28,61,64,28,63,27,33,27,35,31,27,30,35,32,25,31,34,32,34,30,33,31,0
34,41,44,45,34,60,32,59,30,30,61,44,45,45,46,33,58,39,32,46,48,41,42,58,32,45,31,60,32,62,49,41,49,41,32,41,34,45,31,45,34,46,30,45,33,46,33,45,32,45,0
36,28,62,29,36,56,34,55,29,30,59,63,29,64,30,35,54,27,32,30,64,28,62,53,34,29,31,58,32,60,65,28,65,27,34,28,36,29,31,29,36,30,30,29,35,30,35,29,34,29,0
38,38,52,39,37,55,37,55,35,35,56,53,39,54,39,37,54,37,37,40,54,38,52,54,37,39,36,56,36,57,55,38,55,37,37,38,37,39,36,39,38,39,35,39,38,39,37,39,37,39,0
26,9,68,15,25,60,24,59,12,16,69,71,14,71,15,25,59,5,16,16,78,8,64,54,25,15,16,68,16,69,79,8,78,5,25,8,25,16,16,15,25,16,16,16,25,15,25,14,24,15,0
34,36,51,38,34,58,32,57,27,29,61,53,37,54,39,33,57,33,30,39,55,35,51,56,32,37,29,60,30,62,57,36,56,33,32,35,34,38,29,37,34,39,29,38,33,39,33,37,32,38,0
35,36,48,40,35,60,33,59,33,33,60,49,40,50,41,34,59,33,34,41,53,36,47,59,33,40,33,59,34,61,54,36,54,35,33,36,35,40,33,40,35,41,33,40,34,41,34,40,33,40,1
38,38,52,39,38,51,36,50,25,27,57,53,38,54,40,37,47,36,31,40,54,37,52,46,36,38,30,56,31,58,56,38,55,36,36,37,38,39,30,38,38,40,27,39,37,40,37,38,36,39,0
36,27,55,31,36,58,35,57,33,33,59,58,31,59,32,35,56,23,34,32,62,27,55,56,35,31,34,58,34,59,63,27,63,24,35,27,36,31,34,31,36,32,33,31,35,32,35,31,35,31,0
43,43,47,44,43,52,41,51,41,41,52,48,43,49,45,42,51,41,42,45,49,42,47,51,41,43,41,51,42,53,51,43,50,41,41,42,43,44,41,43,43,45,41,44,42,45,42,43,41,44,0
37,31,57,32,35,54,37,54,32,32,57,59,33,59,31,36,52,29,34,33,61,31,57,51,37,33,34,57,33,57,61,30,61,29,37,31,35,33,34,33,36,32,32,33,37,31,36,33,37,32,0
24,23,61,28,24,67,23,67,20,20,70,61,26,61,28,24,66,20,21,28,66,22,58,64,24,27,21,70,21,70,67,23,66,22,24,22,24,28,21,27,24,28,20,28,24,28,24,26,23,28,0
21,19,55,24,18,61,16,60,3,8,74,60,23,61,24,18,62,14,7,27,67,19,53,52,18,25,6,73,6,75,68,18,68,14,19,19,18,25,6,26,20,26,8,26,19,24,19,24,17,25,0
33,32,56,34,33,57,32,57,26,27,61,57,34,58,34,32,56,30,29,35,59,32,56,54,32,34,28,61,29,62,60,32,60,31,32,32,33,34,28,34,33,34,27,34,33,35,32,34,32,34,0
34,18,70,21,33,52,34,52,20,22,60,70,21,70,20,34,48,17,26,21,73,18,68,46,34,21,26,60,26,60,73,18,73,18,34,18,33,21,26,21,34,21,22,21,34,20,34,21,34,21,0
36,38,43,42,34,55,33,54,26,27,59,45,42,46,43,34,51,34,31,44,50,38,42,51,34,43,30,58,30,60,51,38,51,36,34,38,35,43,30,43,35,43,27,43,35,43,34,42,33,42,0
34,27,59,29,33,58,33,57,28,29,61,61,30,61,30,33,56,25,30,30,64,27,58,55,33,30,30,60,30,61,64,27,64,25,33,27,34,30,30,30,33,30,29,30,33,30,33,30,33,29,0
36,53,40,53,36,59,34,58,34,34,59,40,52,41,54,35,58,52,35,54,40,52,40,58,34,52,34,58,35,60,42,53,41,52,34,52,36,53,34,52,36,54,34,53,35,54,35,52,34,53,0
37,50,36,53,36,58,35,57,35,35,58,37,52,38,53,36,57,46,36,54,40,49,36,57,35,52,35,57,36,59,42,50,41,48,35,49,36,53,35,52,37,54,35,53,36,53,36,52,35,53,0
35,37,49,40,35,60,33,59,33,33,60,50,40,51,41,34,59,35,34,41,53,37,48,59,33,40,33,59,34,61,54,37,54,36,33,37,35,40,33,40,35,41,33,40,34,41,34,40,33,40,1
39,32,58,33,38,54,37,53,33,34,56,59,32,60,33,38,52,30,36,34,60,31,58,52,37,32,35,55,36,57,62,32,61,30,37,31,38,33,35,32,39,34,34,33,38,33,38,32,37,33,1
37,34,53,36,36,52,35,51,27,30,58,55,36,56,36,36,52,32,30,37,57,34,53,48,35,36,29,57,30,59,58,34,58,32,35,34,36,36,29,36,37,37,30,36,36,36,36,36,35,36,0
37,47,43,49,37,58,35,57,35,35,58,42,48,43,50,36,57,45,36,50,44,46,42,57,35,48,35,57,36,59,46,47,45,47,35,46,37,49,35,48,37,50,35,49,36,50,36,48,35,49,0
